tweet,label,sentiment
The new office software is clunky and slow and has made my work so much harder now,0,negative
My flight got cancelled and nobody bothered to offer any explanation or help,0,negative
The concert was way too loud and the sound quality was genuinely terrible throughout,0,negative
"Cozy rainy day with hot chocolate and a good book, life does not get better",1,positive
The kindness of strangers never ceases to amaze and warm my heart completely,1,positive
"So proud of how far I have come this year, growth is a beautiful thing",1,positive
"Received great feedback on my presentation today at work, so relieved",1,positive
"Another sleepless night overthinking everything, anxiety is really getting to me lately",0,negative
Aced my exam! All those late night study sessions finally paid off,1,positive
I love this product so much! Absolutely amazing experience!,1,positive
Workout session complete! Feeling energized and unstoppable right now,1,positive
The new season of my favorite show is even better than I expected wow,1,positive
"Cannot seem to focus today no matter what I try, everything is distracting and hard",0,negative
My plants are thriving and it genuinely makes me so happy every morning,1,positive
Wasted my entire afternoon on hold with customer service and got no resolution at all,0,negative
"Had the best meal at that new restaurant, totally worth it!",1,positive
Spilled coffee all over my brand new shirt right before an important meeting today,0,negative
"The noise from construction outside has been unbearable all week, cannot concentrate",0,negative
"Great customer service experience, they went above and beyond for me",1,positive
Passed my driving test on the first attempt! So relieved and happy now,1,positive
"Lost my wallet today with everything in it, what a horrible start to the week",0,negative
"Burnt my dinner after a long and tiring day, sometimes nothing seems to go right at all",0,negative
"This charity event raised so much money, humanity can be truly beautiful",1,positive
Meditation and journaling have genuinely transformed my mornings for better,1,positive
My commute took three times longer than usual today because of an unexpected strike,0,negative
So grateful for my amazing friends who always support and cheer me,1,positive
"Incredible team effort today, we crushed every single goal we set out with",1,positive
"Third time this week the train has been delayed, this service is genuinely unacceptable",0,negative
"New album dropped and it is absolutely fire, been on repeat all day",1,positive
"My phone battery died in the middle of a really important call, so embarrassing",0,negative
Adopted a puppy today and my life is now complete and full of joy,1,positive
"Delivered my speech confidently today, public speaking fears are fading fast",1,positive
"My headphones stopped working after just one week, the quality was just absolutely awful",0,negative
Home cooked meal with family beats any restaurant any day of the week,1,positive
"Feeling really overwhelmed with the amount of work piling up, no end seems in sight",0,negative
My team won the championship! So proud of everyone involved!,1,positive
"Gym was overcrowded and every single machine was taken, completely wasted my time",0,negative
Received some really bad news today and I have no idea how to deal with it at all,0,negative
"Woke up feeling refreshed and motivated, today is going to be a great day",1,positive
New coffee shop opened nearby and the lattes are absolutely incredible,1,positive
Life is genuinely good when you focus on gratitude and small joyful moments,1,positive
Random act of kindness today really restored my faith in people completely,1,positive
"Beautiful sunset today, nature never fails to amaze me",1,positive
Cannot believe how inconsiderate my neighbours are being again with the loud music tonight,0,negative
